Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,21888.34706,23054.70396,23478.24186,23520.55159,23788.37033,24078.37594,24587.77493,25369.98553,26091.9481,25950.14223,25953.0971,26278.56532,25284.57674,25034.4605,24495.6341,24221.15367,23953.9408,24599.93783,24775.24161,24662.65038,20705.71691,22933.26652,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,75269.10131,77386.81741,76320.16807,69274.57296,66346.62857,66766.04322,65118.44489,64286.00636,64432.35016,65087.71765,66970.31308,69534.77175,72754.00843,75504.44785,71313.3386,76580.73565,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18759.56445,19662.64063,21291.41406,22865.50781,23556.4082,24280.8457,25945.03711,27763.1543,30011.11914,32885.28906,34830.27344,33886.73828,33511.29688,33406.17578,31923.9375,30451.69531,30171.14258,31922.34961,35878.41406,38415.10938,40676.57031,44039.01172,41425.92578,44405.00781,49930.86719
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14978.07009,15396.31178,16238.61224,17624.43722,18252.57277,19539.05728,20932.1974,22095.38785,23922.15715,26285.70112,27974.48713,27761.79617,27880.54257,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38824.88792,41143.82705,44212.7465,42827.06001,45630.03781,49945.5001
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25345.66624,26291.21108,27204.29337,28373.97419,29178.63747,29909.67518,31334.01534,31794.09601,34158.12837,36292.07671,37802.38743,36816.20718,38950.71088,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55195.84054,57397.52388,56482.47563,58798.93735,63149.59869
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,3730.366512,3897.114312,4144.97437,4263.133406,4451.683846,4699.70967,4970.334219,5020.17079,5420.927765,5893.184863
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6174.20447,6305.334346,6633.073409,6797.378005,6697.380133,7244.348252,7650.995342,7931.104883,8548.310247,9332.598888,10187.88092,10132.52381,10328.07422,10521.08315,10245.14276,10470.26327,11179.86614,11327.08141,12159.62077,11511.60642,12134.16569,12921.12466,10830.22422,12027.04848,13572.97298
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25814.65817,26653.8239,28663.65188,29442.96229,30640.34562,30821.94318,32938.88288,34150.15946,37331.98008,39011.13939,41278.32683,40331.82423,43000.85664,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55356.68078,57482.9624,59910.66484,60832.15829,64883.90203,74005.47852
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6006.414554,6353.716895,6697.521257,6913.0444,7231.224986,7172.966415,7451.835235,8298.495129,9219.267067,10042.90912,10430.09301,10458.85359,11317.47253,11760.64189,11781.88687,12348.42534,13321.76707,14564.94695,15911.15439,16524.53384,17904.45029,18941.71678,17707.68789,20553.09951,22833.52575
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7878.206579,8130.387872,8510.359279,8840.674165,9354.221725,10088.08677,10653.34303,11478.02805,11861.16606,12392.50592,12714.16166,12768.99372,13141.12026,13543.59872,13347.3628,13104.7371,13058.12457,12071.81418,11685.45142,11809.48303,12007.77471,12120.40637,11452.22662,12170.19378,13209.59677
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2869.060991,3045.344136,3308.872979,3568.776586,3866.292927,4240.62886,4694.214666,5253.401499,5930.359739,6752.536393,7390.491428,7929.223581,8728.857344,9572.889282,10366.3338,10950.74502,11456.29103,11777.42058,12296.44304,12968.86432,14039.44911,15019.69759,15267.89613,17010.30239,18818.8093
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3873.403877,3950.89777,4151.286835,4249.368584,4327.054879,4573.81854,4926.899799,5301.368092,5737.161615,6159.359745,6443.734109,6534.518342,6940.945288,7353.793477,7713.896305,7938.821856,8162.919662,8267.28101,8570.73054,8997.455921,9442.476558,9721.855101,9332.719395,10243.16136,11550.16755
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5134.863527,5369.19498,5773.202834,6076.936267,6448.893938,6872.110999,7455.676023,8112.020307,8904.880587,9838.914899,10461.25735,10841.56502,11770.23022,12659.9572,13489.61772,14181.41916,14693.69834,15108.80698,15609.22939,16329.79643,17430.90302,18370.32091,18579.48137,20396.24635,22397.12248
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5342.511782,5523.631354,6197.567685,6544.559134,7007.934556,7754.202927,8659.248222,9750.292259,11651.71248,12960.03186,14813.40544,14286.53377,15300.37618,16896.58382,17910.41582,19307.88841,19646.8421,19181.66406,19572.34484,20766.25608,22200.48451,22963.73992,22820.83027,25408.71033,28289.46509
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14237.99412,14789.62927,15930.96443,16733.62747,17531.63587,18208.90205,19332.2423,20362.19111,22542.03931,24156.89846,25806.04329,25080.85311,26149.32466,27710.97589,28474.67094,29748.92767,30468.29849,30891.98571,32303.34478,33997.31989,35703.89893,37559.39544,36417.34095,39470.06649,43894.58093
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6070.300144,5763.768975,5857.496022,6123.75719,6362.496502,6549.196227,7151.696928,7633.4708,8075.332999,8330.833977,8877.780987,8835.386646,9104.364063,9861.503581,10304.889,11142.67836,11708.653,11071.29472,11068.85685,11679.43023,11887.49225,11873.28931,10937.10677,11772.52896,12822.11378
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4974.88294,5238.501654,5581.587598,5788.831763,5895.005333,6075.145136,6362.904448,6721.253083,7260.118037,7830.489351,8385.944896,8663.002472,9033.344405,9178.853589,10506.9681,10623.73789,10306.91589,10890.24179,10593.7478,10995.00567,11636.49884,12280.60639,12661.1812,13440.61941,15090.99088
